Cycle Year,Ethnic Group (Summary Level) , Sex,Number of Acceptances,Number of Applicants
2006,Asian,Men,15595,19475
2006,Asian,Women,16290,20260
2006,Black,Men,6500,8965
2006,Black,Women,8835,12970
2006,Mixed,Men,3795,4750
2006,Mixed,Women,5015,6470
2006,White,Men,112100,136100
2006,White,Women,141345,180365
2006,Other,Men,1520,1980
2006,Other,Women,1770,2370
2006,Unknown,Men,2170,2835
2006,Unknown,Women,1945,2815
2007,Asian,Men,15755,19515
2007,Asian,Women,16400,20475
2007,Black,Men,7295,10015
2007,Black,Women,9805,14240
2007,Mixed,Men,4305,5315
2007,Mixed,Women,5805,7415
2007,White,Men,117690,142645
2007,White,Women,149065,188960
2007,Other,Men,1630,2150
2007,Other,Women,1970,2630
2007,Unknown,Men,2280,2990
2007,Unknown,Women,2125,2955
2008,Asian,Men,17200,21250
2008,Asian,Women,18165,22710
2008,Black,Men,8465,11560
2008,Black,Women,12750,18320
2008,Mixed,Men,4890,6070
2008,Mixed,Women,6650,8575
2008,White,Men,125930,151565
2008,White,Women,166820,209560
2008,Other,Men,1585,2095
2008,Other,Women,2050,2725
2008,Unknown,Men,2105,2830
2008,Unknown,Women,2005,2815
2009,Asian,Men,17990,22915
2009,Asian,Women,19325,24885
2009,Black,Men,9805,14075
2009,Black,Women,13760,21205
2009,Mixed,Men,5425,7035
2009,Mixed,Women,7270,9555
2009,White,Men,136705,168250
2009,White,Women,176535,227200
2009,Other,Men,1670,2310
2009,Other,Women,2150,2910
2009,Unknown,Men,1680,2195
2009,Unknown,Women,1395,1935
2010,Asian,Men,18750,25460
2010,Asian,Women,19845,27575
2010,Black,Men,10430,16400
2010,Black,Women,14590,25250
2010,Mixed,Men,5910,8060
2010,Mixed,Women,7670,10905
2010,White,Men,140170,184085
2010,White,Women,179685,251165
2010,Other,Men,1760,2585
2010,Other,Women,2295,3370
2010,Unknown,Men,1640,2335
2010,Unknown,Women,1390,2040
2011,Asian,Men,20315,27250
2011,Asian,Women,21015,28920
2011,Black,Men,11420,17360
2011,Black,Women,15885,27140
2011,Mixed,Men,6565,8660
2011,Mixed,Women,8355,11450
2011,White,Men,142230,183645
2011,White,Women,180280,248990
2011,Other,Men,2010,2880
2011,Other,Women,2360,3420
2011,Unknown,Men,1565,2210
2011,Unknown,Women,1400,2080
2012,Asian,Men,19225,25255
2012,Asian,Women,20620,27755
2012,Black,Men,11210,16195
2012,Black,Women,15965,26045
2012,Mixed,Men,5955,7675
2012,Mixed,Women,7930,10770
2012,White,Men,128055,163370
2012,White,Women,165935,225955
2012,Other,Men,2480,3410
2012,Other,Women,2775,3920
2012,Unknown,Men,1310,1800
2012,Unknown,Women,1170,1740
2013,Asian,Men,20845,26290
2013,Asian,Women,21775,28480
2013,Black,Men,11745,16260
2013,Black,Women,16700,25905
2013,Mixed,Men,6565,8235
2013,Mixed,Women,8525,11245
2013,White,Men,135850,168535
2013,White,Women,175480,231705
2013,Other,Men,2535,3440
2013,Other,Women,2895,3975
2013,Unknown,Men,1380,1855
2013,Unknown,Women,1215,1710
2014,Asian,Men,21860,27575
2014,Asian,Women,23305,30180
2014,Black,Men,12430,17310
2014,Black,Women,17570,26980
2014,Mixed,Men,7080,8865
2014,Mixed,Women,9365,12255
2014,White,Men,138000,171045
2014,White,Women,181435,238565
2014,Other,Men,2820,3810
2014,Other,Women,3255,4400
2014,Unknown,Men,1275,1800
2014,Unknown,Women,1175,1740
2015,Asian,Men,22975,28450
2015,Asian,Women,25260,32075
2015,Black,Men,13280,18175
2015,Black,Women,18315,27320
2015,Mixed,Men,7580,9355
2015,Mixed,Women,10345,13160
2015,White,Men,138040,170350
2015,White,Women,185975,241380
2015,Other,Men,3070,4000
2015,Other,Women,3620,4705
2015,Unknown,Men,1790,2400
2015,Unknown,Women,1530,2145
